ngo_id,ngo_name,email,location,specializations,capacity,current_load
82,NGO_82,ngo82@example.com,Trichy,Food,33,23
83,NGO_83,ngo83@example.com,Chennai,"Community Development,Food,Education",45,15
84,NGO_84,ngo84@example.com,Chennai,"Food,Clothing",44,23
85,NGO_85,ngo85@example.com,Bangalore,"Clothing,Community Development",70,1
86,NGO_86,ngo86@example.com,Bangalore,"Community Development,Disaster Relief,Food",43,24
87,NGO_87,ngo87@example.com,Bangalore,Education,54,8
88,NGO_88,ngo88@example.com,Bangalore,"Clothing,Disaster Relief",76,14
89,NGO_89,ngo89@example.com,Bangalore,"Education,Food,Community Development",34,22
90,NGO_90,ngo90@example.com,Trichy,"Clothing,Disaster Relief,Healthcare",35,4
91,NGO_91,ngo91@example.com,Bangalore,Community Development,77,24
92,NGO_92,ngo92@example.com,Coimbatore,Community Development,32,22
93,NGO_93,ngo93@example.com,Madurai,Education,48,11
94,NGO_94,ngo94@example.com,Chennai,"Community Development,Healthcare",58,4
95,NGO_95,ngo95@example.com,Coimbatore,"Community Development,Healthcare,Disaster Relief",58,9
96,NGO_96,ngo96@example.com,Coimbatore,Clothing,65,15
97,NGO_97,ngo97@example.com,Bangalore,"Community Development,Food",44,20
98,NGO_98,ngo98@example.com,Madurai,Disaster Relief,50,8
99,NGO_99,ngo99@example.com,Coimbatore,Education,77,0
100,NGO_100,ngo100@example.com,Trichy,"Education,Community Development",41,5
101,NGO_101,ngo101@example.com,Madurai,"Education,Healthcare,Community Development",62,7
102,NGO_102,ngo102@example.com,Trichy,"Clothing,Education",59,0
103,NGO_103,ngo103@example.com,Bangalore,Disaster Relief,57,19
104,NGO_104,ngo104@example.com,Coimbatore,"Clothing,Disaster Relief,Food",74,12
105,NGO_105,ngo105@example.com,Madurai,Clothing,69,8
106,NGO_106,ngo106@example.com,Madurai,Community Development,75,20
107,NGO_107,ngo107@example.com,Trichy,Healthcare,72,25
108,NGO_108,ngo108@example.com,Chennai,"Education,Disaster Relief,Healthcare",79,4
109,NGO_109,ngo109@example.com,Madurai,"Education,Community Development",80,3
110,NGO_110,ngo110@example.com,Madurai,"Clothing,Education",32,9
111,NGO_111,ngo111@example.com,Bangalore,Disaster Relief,77,8
112,NGO_112,ngo112@example.com,Bangalore,Food,68,2
113,NGO_113,ngo113@example.com,Bangalore,"Food,Community Development,Healthcare",72,5
114,NGO_114,ngo114@example.com,Trichy,Education,77,11
115,NGO_115,ngo115@example.com,Coimbatore,Disaster Relief,66,25
116,NGO_116,ngo116@example.com,Bangalore,Education,67,6
117,NGO_117,ngo117@example.com,Coimbatore,Clothing,55,10
118,NGO_118,ngo118@example.com,Coimbatore,"Disaster Relief,Healthcare,Education",67,17
119,NGO_119,ngo119@example.com,Chennai,"Education,Healthcare,Community Development",80,22
120,NGO_120,ngo120@example.com,Chennai,Food,50,9
121,NGO_121,ngo121@example.com,Coimbatore,"Education,Disaster Relief,Food",33,15
122,NGO_122,ngo122@example.com,Chennai,"Food,Community Development,Healthcare",72,19
123,NGO_123,ngo123@example.com,Bangalore,"Education,Food,Disaster Relief",57,11
124,NGO_124,ngo124@example.com,Trichy,"Disaster Relief,Clothing",38,10
125,NGO_125,ngo125@example.com,Bangalore,Healthcare,76,15
126,NGO_126,ngo126@example.com,Trichy,"Education,Disaster Relief",76,21
127,NGO_127,ngo127@example.com,Bangalore,Community Development,72,10
128,NGO_128,ngo128@example.com,Chennai,"Community Development,Clothing,Disaster Relief",71,16
129,NGO_129,ngo129@example.com,Trichy,"Clothing,Education",49,11
130,NGO_130,ngo130@example.com,Chennai,Food,46,2
131,NGO_131,ngo131@example.com,Coimbatore,"Community Development,Clothing,Healthcare",71,9
132,NGO_132,ngo132@example.com,Bangalore,"Healthcare,Disaster Relief",37,12
133,NGO_133,ngo133@example.com,Madurai,Food,44,11
134,NGO_134,ngo134@example.com,Bangalore,"Clothing,Healthcare",38,8
135,NGO_135,ngo135@example.com,Chennai,Food,55,22
136,NGO_136,ngo136@example.com,Coimbatore,Healthcare,64,23
137,NGO_137,ngo137@example.com,Trichy,Food,50,1
138,NGO_138,ngo138@example.com,Trichy,"Education,Disaster Relief,Community Development",48,12
139,NGO_139,ngo139@example.com,Trichy,"Healthcare,Clothing",58,9
140,NGO_140,ngo140@example.com,Trichy,"Healthcare,Clothing,Community Development",52,10
141,NGO_141,ngo141@example.com,Chennai,"Education,Disaster Relief,Clothing",37,9
142,NGO_142,ngo142@example.com,Madurai,Disaster Relief,47,21
143,NGO_143,ngo143@example.com,Chennai,"Clothing,Education",36,1
144,NGO_144,ngo144@example.com,Madurai,"Clothing,Disaster Relief",63,18
145,NGO_145,ngo145@example.com,Coimbatore,Clothing,40,22
146,NGO_146,ngo146@example.com,Bangalore,"Education,Disaster Relief,Healthcare",60,21
147,NGO_147,ngo147@example.com,Madurai,"Clothing,Education",78,2
148,NGO_148,ngo148@example.com,Coimbatore,"Community Development,Clothing,Food",70,14
149,NGO_149,ngo149@example.com,Coimbatore,"Disaster Relief,Healthcare,Education",38,15
150,NGO_150,ngo150@example.com,Coimbatore,"Education,Community Development,Food",50,4
151,NGO_151,ngo151@example.com,Madurai,"Community Development,Food",33,20
152,NGO_152,ngo152@example.com,Madurai,"Education,Healthcare",38,1
153,NGO_153,ngo153@example.com,Coimbatore,Disaster Relief,61,15
154,NGO_154,ngo154@example.com,Chennai,"Food,Community Development",58,18
155,NGO_155,ngo155@example.com,Chennai,"Disaster Relief,Healthcare,Food",47,24
156,NGO_156,ngo156@example.com,Chennai,Food,56,17
157,NGO_157,ngo157@example.com,Bangalore,"Clothing,Community Development,Disaster Relief",74,1
158,NGO_158,ngo158@example.com,Madurai,"Education,Food",65,22
159,NGO_159,ngo159@example.com,Coimbatore,Disaster Relief,63,4
160,NGO_160,ngo160@example.com,Coimbatore,Education,47,2
161,NGO_161,ngo161@example.com,Bangalore,"Disaster Relief,Education,Food",44,20
162,NGO_162,ngo162@example.com,Coimbatore,"Clothing,Healthcare",80,18
163,NGO_163,ngo163@example.com,Trichy,"Clothing,Food",49,4
164,NGO_164,ngo164@example.com,Coimbatore,Clothing,47,4
165,NGO_165,ngo165@example.com,Madurai,"Clothing,Healthcare,Food",75,1
166,NGO_166,ngo166@example.com,Trichy,"Food,Healthcare,Disaster Relief",56,8
167,NGO_167,ngo167@example.com,Bangalore,Education,51,14
168,NGO_168,ngo168@example.com,Coimbatore,"Education,Disaster Relief,Clothing",42,7
169,NGO_169,ngo169@example.com,Madurai,Clothing,64,8
170,NGO_170,ngo170@example.com,Trichy,"Food,Healthcare,Community Development",77,1
171,NGO_171,ngo171@example.com,Chennai,Community Development,64,23
172,NGO_172,ngo172@example.com,Madurai,"Clothing,Education,Disaster Relief",42,18
173,NGO_173,ngo173@example.com,Bangalore,"Disaster Relief,Food,Community Development",39,24
174,NGO_174,ngo174@example.com,Chennai,"Disaster Relief,Education",80,7
175,NGO_175,ngo175@example.com,Bangalore,"Clothing,Healthcare,Community Development",43,14
176,NGO_176,ngo176@example.com,Bangalore,Healthcare,47,14
177,NGO_177,ngo177@example.com,Madurai,"Disaster Relief,Healthcare",40,18
178,NGO_178,ngo178@example.com,Chennai,"Community Development,Food",62,19
179,NGO_179,ngo179@example.com,Madurai,"Clothing,Disaster Relief,Food",39,19
180,NGO_180,ngo180@example.com,Chennai,"Community Development,Food,Healthcare",57,1
181,NGO_181,ngo181@example.com,Madurai,Disaster Relief,39,16
182,NGO_182,ngo182@example.com,Chennai,Community Development,45,13
183,NGO_183,ngo183@example.com,Madurai,Disaster Relief,31,2
184,NGO_184,ngo184@example.com,Bangalore,"Disaster Relief,Community Development,Food",31,20
185,NGO_185,ngo185@example.com,Bangalore,Healthcare,47,23
186,NGO_186,ngo186@example.com,Madurai,Community Development,53,17
187,NGO_187,ngo187@example.com,Bangalore,"Clothing,Food",77,2
188,NGO_188,ngo188@example.com,Chennai,"Disaster Relief,Education,Food",44,0
189,NGO_189,ngo189@example.com,Bangalore,"Disaster Relief,Community Development,Clothing",70,20
190,NGO_190,ngo190@example.com,Chennai,"Clothing,Healthcare,Community Development",42,21
191,NGO_191,ngo191@example.com,Coimbatore,"Community Development,Healthcare",45,17
192,NGO_192,ngo192@example.com,Bangalore,"Disaster Relief,Healthcare,Food",61,25
193,NGO_193,ngo193@example.com,Madurai,"Education,Clothing",72,15
194,NGO_194,ngo194@example.com,Madurai,"Disaster Relief,Education",37,16
195,NGO_195,ngo195@example.com,Coimbatore,"Disaster Relief,Healthcare,Food",65,24
196,NGO_196,ngo196@example.com,Bangalore,"Community Development,Education",70,0
197,NGO_197,ngo197@example.com,Trichy,Clothing,51,0
198,NGO_198,ngo198@example.com,Coimbatore,Healthcare,50,6
199,NGO_199,ngo199@example.com,Chennai,"Clothing,Food,Disaster Relief",51,18
200,NGO_200,ngo200@example.com,Coimbatore,"Food,Disaster Relief",33,14
201,NGO_201,ngo201@example.com,Coimbatore,Community Development,44,24
202,NGO_202,ngo202@example.com,Bangalore,Clothing,50,20
203,NGO_203,ngo203@example.com,Trichy,"Community Development,Clothing,Food",59,18
204,NGO_204,ngo204@example.com,Chennai,"Healthcare,Education,Disaster Relief",79,20
205,NGO_205,ngo205@example.com,Coimbatore,Healthcare,70,11
206,NGO_206,ngo206@example.com,Chennai,"Healthcare,Disaster Relief,Community Development",65,13
207,NGO_207,ngo207@example.com,Trichy,"Disaster Relief,Education,Clothing",68,18
208,NGO_208,ngo208@example.com,Coimbatore,Healthcare,70,24
209,NGO_209,ngo209@example.com,Chennai,"Clothing,Education,Healthcare",75,9
210,NGO_210,ngo210@example.com,Trichy,Disaster Relief,45,12
211,NGO_211,ngo211@example.com,Madurai,"Food,Community Development,Clothing",61,17
212,NGO_212,ngo212@example.com,Bangalore,"Disaster Relief,Education",55,21
213,NGO_213,ngo213@example.com,Chennai,Education,72,10
214,NGO_214,ngo214@example.com,Chennai,"Community Development,Healthcare",60,8
215,NGO_215,ngo215@example.com,Trichy,"Food,Healthcare,Disaster Relief",52,13
216,NGO_216,ngo216@example.com,Chennai,"Disaster Relief,Healthcare",45,19
217,NGO_217,ngo217@example.com,Madurai,"Food,Clothing,Healthcare",42,6
218,NGO_218,ngo218@example.com,Bangalore,"Clothing,Community Development",37,23
219,NGO_219,ngo219@example.com,Coimbatore,"Disaster Relief,Community Development",34,4
220,NGO_220,ngo220@example.com,Madurai,"Clothing,Food",54,15
221,NGO_221,ngo221@example.com,Bangalore,Food,51,18
222,NGO_222,ngo222@example.com,Trichy,"Healthcare,Community Development",32,13
223,NGO_223,ngo223@example.com,Bangalore,Community Development,80,18
224,NGO_224,ngo224@example.com,Coimbatore,"Healthcare,Food",50,4
225,NGO_225,ngo225@example.com,Trichy,"Disaster Relief,Clothing,Food",77,21
226,NGO_226,ngo226@example.com,Trichy,"Clothing,Disaster Relief",72,23
227,NGO_227,ngo227@example.com,Madurai,"Food,Disaster Relief,Clothing",36,19
228,NGO_228,ngo228@example.com,Chennai,"Clothing,Disaster Relief",45,20
229,NGO_229,ngo229@example.com,Bangalore,"Community Development,Food,Education",33,24
230,NGO_230,ngo230@example.com,Coimbatore,"Healthcare,Education,Community Development",55,10
231,NGO_231,ngo231@example.com,Coimbatore,"Clothing,Healthcare,Education",44,9
232,NGO_232,ngo232@example.com,Madurai,"Disaster Relief,Healthcare,Food",47,17
233,NGO_233,ngo233@example.com,Chennai,"Clothing,Healthcare,Food",33,6
234,NGO_234,ngo234@example.com,Chennai,Disaster Relief,59,25
235,NGO_235,ngo235@example.com,Madurai,"Community Development,Clothing",57,12
236,NGO_236,ngo236@example.com,Trichy,Food,73,1
237,NGO_237,ngo237@example.com,Trichy,"Disaster Relief,Healthcare,Education",48,7
238,NGO_238,ngo238@example.com,Madurai,Food,32,21
239,NGO_239,ngo239@example.com,Madurai,Clothing,39,1
240,NGO_240,ngo240@example.com,Coimbatore,Disaster Relief,70,25
241,NGO_241,ngo241@example.com,Trichy,"Food,Community Development,Disaster Relief",39,9
242,NGO_242,ngo242@example.com,Coimbatore,"Education,Healthcare",80,22
243,NGO_243,ngo243@example.com,Madurai,"Healthcare,Clothing",75,6
244,NGO_244,ngo244@example.com,Coimbatore,"Community Development,Disaster Relief,Food",75,4
245,NGO_245,ngo245@example.com,Coimbatore,"Disaster Relief,Food,Community Development",69,25
246,NGO_246,ngo246@example.com,Coimbatore,"Clothing,Food",66,10
247,NGO_247,ngo247@example.com,Trichy,Healthcare,55,25
248,NGO_248,ngo248@example.com,Bangalore,"Community Development,Healthcare",64,3
249,NGO_249,ngo249@example.com,Bangalore,Clothing,79,2
250,NGO_250,ngo250@example.com,Chennai,Community Development,65,0
251,NGO_251,ngo251@example.com,Madurai,Food,49,25
252,NGO_252,ngo252@example.com,Bangalore,Community Development,47,18
253,NGO_253,ngo253@example.com,Coimbatore,Disaster Relief,80,18
254,NGO_254,ngo254@example.com,Trichy,"Clothing,Food,Community Development",39,23
255,NGO_255,ngo255@example.com,Chennai,"Education,Clothing,Food",68,20
256,NGO_256,ngo256@example.com,Coimbatore,"Community Development,Clothing,Disaster Relief",43,5
257,NGO_257,ngo257@example.com,Chennai,"Food,Disaster Relief,Community Development",62,12
258,NGO_258,ngo258@example.com,Chennai,"Education,Disaster Relief,Healthcare",66,24
259,NGO_259,ngo259@example.com,Trichy,"Clothing,Community Development,Education",35,21
260,NGO_260,ngo260@example.com,Trichy,Healthcare,47,25
261,NGO_261,ngo261@example.com,Madurai,"Food,Disaster Relief",44,20
262,NGO_262,ngo262@example.com,Madurai,"Education,Clothing,Food",45,16
263,NGO_263,ngo263@example.com,Bangalore,Healthcare,62,8
264,NGO_264,ngo264@example.com,Madurai,Disaster Relief,56,24
265,NGO_265,ngo265@example.com,Chennai,"Clothing,Disaster Relief,Healthcare",49,16
266,NGO_266,ngo266@example.com,Bangalore,"Education,Clothing",68,24
267,NGO_267,ngo267@example.com,Madurai,"Food,Healthcare",51,20
268,NGO_268,ngo268@example.com,Madurai,"Clothing,Healthcare",50,14
269,NGO_269,ngo269@example.com,Trichy,"Healthcare,Disaster Relief",61,11
270,NGO_270,ngo270@example.com,Trichy,"Healthcare,Education",52,1
271,NGO_271,ngo271@example.com,Coimbatore,"Community Development,Healthcare",65,23
272,NGO_272,ngo272@example.com,Coimbatore,Education,74,21
273,NGO_273,ngo273@example.com,Bangalore,Education,70,12
274,NGO_274,ngo274@example.com,Coimbatore,"Community Development,Education,Healthcare",38,2
275,NGO_275,ngo275@example.com,Madurai,Education,61,0
276,NGO_276,ngo276@example.com,Coimbatore,"Food,Healthcare,Community Development",62,3
277,NGO_277,ngo277@example.com,Bangalore,"Community Development,Clothing",41,18
278,NGO_278,ngo278@example.com,Coimbatore,"Healthcare,Education,Clothing",61,6
279,NGO_279,ngo279@example.com,Coimbatore,"Healthcare,Community Development,Food",60,20
280,NGO_280,ngo280@example.com,Madurai,"Education,Healthcare",55,9
281,NGO_281,ngo281@example.com,Trichy,Healthcare,35,2
282,NGO_282,ngo282@example.com,Madurai,"Clothing,Community Development",77,21
283,NGO_283,ngo283@example.com,Bangalore,"Community Development,Disaster Relief,Education",69,15
284,NGO_284,ngo284@example.com,Madurai,Disaster Relief,38,20
285,NGO_285,ngo285@example.com,Madurai,Community Development,32,22
286,NGO_286,ngo286@example.com,Chennai,"Clothing,Healthcare",76,18
287,NGO_287,ngo287@example.com,Bangalore,"Education,Community Development,Food",70,19
288,NGO_288,ngo288@example.com,Trichy,"Clothing,Disaster Relief",46,15
289,NGO_289,ngo289@example.com,Trichy,"Clothing,Community Development",48,11
290,NGO_290,ngo290@example.com,Bangalore,"Community Development,Disaster Relief,Food",57,9
291,NGO_291,ngo291@example.com,Chennai,"Food,Education",66,7
292,NGO_292,ngo292@example.com,Madurai,Education,46,20
293,NGO_293,ngo293@example.com,Chennai,Clothing,59,9
294,NGO_294,ngo294@example.com,Trichy,Healthcare,54,2
295,NGO_295,ngo295@example.com,Chennai,Clothing,67,19
296,NGO_296,ngo296@example.com,Madurai,"Food,Education",77,0
297,NGO_297,ngo297@example.com,Coimbatore,Healthcare,41,23
298,NGO_298,ngo298@example.com,Chennai,"Education,Community Development",45,24
299,NGO_299,ngo299@example.com,Bangalore,Disaster Relief,49,21
300,NGO_300,ngo300@example.com,Bangalore,"Healthcare,Clothing,Education",33,6
301,NGO_301,ngo301@example.com,Bangalore,"Healthcare,Clothing",41,11
302,NGO_302,ngo302@example.com,Coimbatore,Food,49,21
303,NGO_303,ngo303@example.com,Coimbatore,Food,38,1
304,NGO_304,ngo304@example.com,Bangalore,"Food,Community Development",50,8
305,NGO_305,ngo305@example.com,Bangalore,"Food,Clothing,Disaster Relief",35,13
306,NGO_306,ngo306@example.com,Trichy,"Food,Healthcare",41,9
307,NGO_307,ngo307@example.com,Madurai,"Food,Community Development",55,2
308,NGO_308,ngo308@example.com,Bangalore,"Clothing,Education,Food",61,7
309,NGO_309,ngo309@example.com,Chennai,"Community Development,Food,Disaster Relief",51,17
310,NGO_310,ngo310@example.com,Chennai,"Community Development,Healthcare,Food",69,13
311,NGO_311,ngo311@example.com,Coimbatore,Disaster Relief,46,1
312,NGO_312,ngo312@example.com,Coimbatore,"Disaster Relief,Clothing,Education",79,18
313,NGO_313,ngo313@example.com,Trichy,Disaster Relief,40,8
314,NGO_314,ngo314@example.com,Bangalore,Food,51,11
315,NGO_315,ngo315@example.com,Coimbatore,"Community Development,Disaster Relief,Healthcare",34,20
316,NGO_316,ngo316@example.com,Bangalore,"Clothing,Community Development",50,17
317,NGO_317,ngo317@example.com,Bangalore,"Education,Food,Disaster Relief",69,5
318,NGO_318,ngo318@example.com,Coimbatore,"Food,Clothing",52,8
319,NGO_319,ngo319@example.com,Coimbatore,Food,76,19
320,NGO_320,ngo320@example.com,Madurai,Community Development,78,6
321,NGO_321,ngo321@example.com,Bangalore,Clothing,45,25
322,NGO_322,ngo322@example.com,Madurai,"Healthcare,Food",66,17
323,NGO_323,ngo323@example.com,Bangalore,"Community Development,Food,Clothing",44,6
324,NGO_324,ngo324@example.com,Coimbatore,"Disaster Relief,Community Development,Healthcare",44,9
325,NGO_325,ngo325@example.com,Chennai,Food,40,12
326,NGO_326,ngo326@example.com,Madurai,Disaster Relief,42,3
327,NGO_327,ngo327@example.com,Madurai,"Education,Disaster Relief,Healthcare",42,25
328,NGO_328,ngo328@example.com,Madurai,Healthcare,32,22
329,NGO_329,ngo329@example.com,Chennai,"Healthcare,Food",37,4
330,NGO_330,ngo330@example.com,Trichy,"Disaster Relief,Food,Community Development",40,17
331,NGO_331,ngo331@example.com,Coimbatore,"Healthcare,Food",77,9
332,NGO_332,ngo332@example.com,Madurai,"Education,Healthcare,Clothing",51,7
333,NGO_333,ngo333@example.com,Bangalore,"Disaster Relief,Food",68,13
334,NGO_334,ngo334@example.com,Bangalore,Disaster Relief,40,3
335,NGO_335,ngo335@example.com,Chennai,"Healthcare,Community Development",48,25
336,NGO_336,ngo336@example.com,Madurai,Clothing,63,11
337,NGO_337,ngo337@example.com,Trichy,"Education,Clothing,Disaster Relief",63,21
338,NGO_338,ngo338@example.com,Chennai,"Education,Clothing",77,8
339,NGO_339,ngo339@example.com,Coimbatore,"Disaster Relief,Community Development,Food",35,2
340,NGO_340,ngo340@example.com,Madurai,Disaster Relief,46,16
341,NGO_341,ngo341@example.com,Madurai,"Disaster Relief,Healthcare",65,4
342,NGO_342,ngo342@example.com,Coimbatore,"Clothing,Healthcare,Education",51,15
343,NGO_343,ngo343@example.com,Trichy,Community Development,32,4
344,NGO_344,ngo344@example.com,Coimbatore,"Education,Healthcare",39,14
345,NGO_345,ngo345@example.com,Trichy,"Clothing,Disaster Relief,Education",69,4
346,NGO_346,ngo346@example.com,Bangalore,Food,55,12
347,NGO_347,ngo347@example.com,Coimbatore,"Clothing,Healthcare,Food",69,0
348,NGO_348,ngo348@example.com,Chennai,"Clothing,Disaster Relief",46,3
349,NGO_349,ngo349@example.com,Coimbatore,"Disaster Relief,Education",69,11
350,NGO_350,ngo350@example.com,Madurai,"Healthcare,Education,Community Development",73,12
351,NGO_351,ngo351@example.com,Chennai,"Healthcare,Clothing",62,15
352,NGO_352,ngo352@example.com,Chennai,"Education,Food,Healthcare",64,15
353,NGO_353,ngo353@example.com,Chennai,"Food,Education",49,5
354,NGO_354,ngo354@example.com,Bangalore,Community Development,42,3
355,NGO_355,ngo355@example.com,Coimbatore,"Education,Healthcare,Food",43,23
356,NGO_356,ngo356@example.com,Trichy,Disaster Relief,46,6
357,NGO_357,ngo357@example.com,Coimbatore,Community Development,70,10
358,NGO_358,ngo358@example.com,Madurai,"Disaster Relief,Healthcare,Education",68,23
359,NGO_359,ngo359@example.com,Chennai,"Food,Healthcare",77,22
360,NGO_360,ngo360@example.com,Madurai,Education,61,19
361,NGO_361,ngo361@example.com,Chennai,"Clothing,Education",66,16
362,NGO_362,ngo362@example.com,Madurai,"Healthcare,Disaster Relief,Food",66,4
363,NGO_363,ngo363@example.com,Trichy,"Community Development,Clothing",30,13
364,NGO_364,ngo364@example.com,Madurai,"Clothing,Healthcare",59,0
365,NGO_365,ngo365@example.com,Trichy,"Food,Community Development,Healthcare",53,25
366,NGO_366,ngo366@example.com,Trichy,Food,57,12
367,NGO_367,ngo367@example.com,Madurai,Community Development,42,22
368,NGO_368,ngo368@example.com,Bangalore,"Education,Food",41,25
369,NGO_369,ngo369@example.com,Coimbatore,"Education,Community Development",65,7
370,NGO_370,ngo370@example.com,Trichy,Food,52,8
371,NGO_371,ngo371@example.com,Trichy,Food,44,2
372,NGO_372,ngo372@example.com,Chennai,"Clothing,Food",30,15
