contribution_id,user_id,type,category,description,location,status
52,245,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
53,296,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,CLOSED
54,164,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
55,144,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
56,104,DONATION,Food,I want to offer support related to food for people in need,Madurai,OPEN
57,57,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
58,70,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
59,221,DONATION,Education,I want to offer support related to education for people in need,Chennai,CLOSED
60,65,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
61,288,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
62,232,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
63,71,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
64,25,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
65,174,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
66,75,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
67,279,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
68,38,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
69,95,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
70,278,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
71,57,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
72,288,SERVICE,Education,I want to offer support related to education for people in need,Madurai,CLOSED
73,170,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
74,158,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
75,23,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
76,41,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
77,51,DONATION,Food,I want to offer support related to food for people in need,Madurai,OPEN
78,254,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,CLOSED
79,259,SERVICE,Food,I want to offer support related to food for people in need,Trichy,OPEN
80,67,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
81,86,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
82,41,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,OPEN
83,159,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
84,253,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
85,7,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
86,25,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
87,9,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
88,13,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
89,239,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
90,161,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
91,239,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
92,141,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
93,211,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
94,49,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
95,144,SERVICE,Education,I want to offer support related to education for people in need,Chennai,OPEN
96,260,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
97,115,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
98,144,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
99,11,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
100,171,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
101,7,DONATION,Food,I want to offer support related to food for people in need,Madurai,CLOSED
102,8,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
103,25,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
104,112,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
105,197,SERVICE,Food,I want to offer support related to food for people in need,Trichy,OPEN
106,278,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
107,264,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
108,116,DONATION,Food,I want to offer support related to food for people in need,Chennai,CLOSED
109,206,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
110,168,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
111,124,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
112,70,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
113,7,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
114,300,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
115,139,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
116,254,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
117,174,SERVICE,Education,I want to offer support related to education for people in need,Chennai,OPEN
118,18,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
119,94,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
120,234,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
121,106,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
122,166,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
123,119,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
124,164,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
125,268,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
126,203,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
127,191,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
128,72,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
129,16,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
130,200,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
131,163,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
132,19,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
133,29,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
134,46,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
135,294,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
136,275,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
137,30,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
138,162,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
139,84,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,OPEN
140,79,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
141,152,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
142,95,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
143,203,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
144,107,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
145,248,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
146,40,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
147,107,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
148,198,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
149,206,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
150,180,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
151,241,SERVICE,Food,I want to offer support related to food for people in need,Trichy,CLOSED
152,135,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
153,259,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
154,241,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
155,300,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
156,175,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
157,15,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
158,70,SERVICE,Education,I want to offer support related to education for people in need,Madurai,CLOSED
159,257,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
160,44,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
161,107,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
162,149,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
163,81,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
164,83,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
165,240,DONATION,Education,I want to offer support related to education for people in need,Madurai,OPEN
166,23,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
167,167,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
168,154,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
169,192,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
170,283,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
171,8,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
172,92,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
173,58,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
174,290,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
175,114,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
176,160,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,CLOSED
177,245,DONATION,Education,I want to offer support related to education for people in need,Madurai,OPEN
178,210,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,CLOSED
179,239,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
180,59,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
181,279,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
182,297,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
183,198,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
184,260,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
185,92,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
186,155,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
187,135,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
188,177,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
189,103,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
190,189,DONATION,Food,I want to offer support related to food for people in need,Madurai,CLOSED
191,153,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
192,30,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
193,202,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,OPEN
194,152,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
195,34,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
196,101,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
197,195,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
198,282,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
199,39,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,CLOSED
200,112,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
201,293,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
202,65,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
203,83,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
204,187,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
205,233,DONATION,Food,I want to offer support related to food for people in need,Madurai,OPEN
206,162,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
207,280,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
208,155,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
209,94,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
210,293,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
211,82,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
212,267,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
213,176,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,CLOSED
214,299,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
215,38,DONATION,Food,I want to offer support related to food for people in need,Trichy,CLOSED
216,60,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
217,85,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
218,297,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
219,6,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
220,262,DONATION,Education,I want to offer support related to education for people in need,Bangalore,OPEN
221,215,SERVICE,Education,I want to offer support related to education for people in need,Trichy,CLOSED
222,157,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
223,172,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
224,165,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
225,246,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
226,280,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
227,267,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
228,175,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
229,271,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
230,58,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
231,69,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
232,239,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
233,31,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
234,6,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
235,212,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
236,55,DONATION,Food,I want to offer support related to food for people in need,Chennai,OPEN
237,104,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
238,37,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
239,252,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
240,244,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
241,136,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
242,139,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
243,180,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
244,188,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
245,43,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
246,92,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
247,240,DONATION,Food,I want to offer support related to food for people in need,Trichy,CLOSED
248,23,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
249,51,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
250,133,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,OPEN
251,235,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
252,242,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
253,19,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
254,252,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
255,17,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
256,265,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
257,34,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
258,239,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
259,130,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
260,53,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
261,257,SERVICE,Education,I want to offer support related to education for people in need,Madurai,CLOSED
262,190,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,CLOSED
263,42,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
264,148,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
265,241,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
266,234,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
267,54,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
268,175,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
269,1,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
270,34,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
271,179,DONATION,Education,I want to offer support related to education for people in need,Bangalore,OPEN
272,249,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
273,141,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
274,182,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
275,1,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
276,216,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
277,127,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
278,233,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
279,4,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
280,216,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
281,16,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
282,124,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
283,163,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
284,190,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
285,242,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
286,176,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
287,64,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
288,169,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
289,189,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
290,15,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
291,22,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
292,222,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
293,181,SERVICE,Food,I want to offer support related to food for people in need,Trichy,CLOSED
294,35,DONATION,Food,I want to offer support related to food for people in need,Chennai,OPEN
295,207,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
296,212,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
297,177,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
298,189,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
299,212,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
300,160,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
301,104,SERVICE,Food,I want to offer support related to food for people in need,Trichy,CLOSED
302,107,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
303,270,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
304,144,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
305,92,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
306,64,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
307,226,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
308,122,DONATION,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
309,136,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
310,241,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,CLOSED
311,286,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
312,265,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
313,48,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,OPEN
314,236,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
315,71,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,OPEN
316,40,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
317,279,DONATION,Education,I want to offer support related to education for people in need,Chennai,CLOSED
318,15,DONATION,Education,I want to offer support related to education for people in need,Madurai,OPEN
319,92,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
320,109,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
321,269,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
322,232,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
323,156,DONATION,Food,I want to offer support related to food for people in need,Madurai,OPEN
324,54,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
325,59,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
326,67,SERVICE,Education,I want to offer support related to education for people in need,Trichy,CLOSED
327,139,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
328,24,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
329,239,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
330,69,SERVICE,Education,I want to offer support related to education for people in need,Madurai,CLOSED
331,121,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
332,42,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
333,79,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
334,263,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
335,193,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
336,92,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
337,100,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
338,263,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
339,97,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
340,18,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
